"department","publisher","books","percent"
"Institute of Archaeology","Pimlico",11,0.1626737651582372
"Institute of Archaeology","Cambridge University      Press",2,0.029577048210588583
"Institute of Archaeology","Published for the Society for American Archaeology by the Smithsonian Institution Press",1,0.014788524105294291
"Institute of Archaeology","Southern Illinois University Press",2,0.029577048210588583
"Institute of Archaeology","Polity in association with Blackwell",2,0.029577048210588583
"Institute of Archaeology","Kluwer Academic Publishers",1,0.014788524105294291
"Institute of Archaeology","Transaction Publishers",2,0.029577048210588583
"Institute of Archaeology","Wiley-Blackwell (an imprint of John Wiley & Sons Ltd)",1,0.014788524105294291
"Institute of Archaeology","Historic Buildings & Monuments Commission for",1,0.014788524105294291
"Institute of Archaeology","Bergin & Garvey",4,0.059154096421177166
"Institute of Archaeology","Aldine Transaction",2,0.029577048210588583
"Institute of Archaeology","Kluwer Academic/Plenum",2,0.029577048210588583
"Institute of Archaeology","Center for Archaeological Investigations, Southern Illinois University at Carbondale",3,0.044365572315882874
"Institute of Archaeology","University Alabama Press",1,0.014788524105294291
"Institute of Archaeology","Basic Books",9,0.13309671694764863
"Institute of Archaeology","University Press of Colorado",11,0.1626737651582372
"Institute of Archaeology","National Gallery of Art",15,0.22182786157941436
"Institute of Archaeology","American Anthropological Association",3,0.044365572315882874
"Institute of Archaeology","Stationery Office (U.K.)",2,0.029577048210588583
"Institute of Archaeology","Kent County Council",2,0.029577048210588583
"Institute of Archaeology","Taylor & Francis",4,0.059154096421177166
"Institute of Archaeology","EAC",1,0.014788524105294291
"Institute of Archaeology","British Museum (Natural History)",6,0.08873114463176575
"Institute of Archaeology","Arkansas Archeological Survey",1,0.014788524105294291
"Institute of Archaeology","Institute of Archaeology, University College London",4,0.059154096421177166
"Institute of Archaeology","CRC Press",4,0.059154096421177166
"Institute of Archaeology","British Institute of Archaeology Ankara",3,0.044365572315882874
"Institute of Archaeology","Chapman and Hall/CRC",2,0.029577048210588583
"Institute of Archaeology","Open University",2,0.029577048210588583
"Institute of Archaeology","Arnold",8,0.11830819284235433
"Institute of Archaeology","Blackwell Publishing Ltd",2,0.029577048210588583
"Institute of Archaeology","Dumbarton Oaks Research Library and Collection",4,0.059154096421177166
"Institute of Archaeology","Art Institute of Chicago",1,0.014788524105294291
"Institute of Archaeology","University of Iowa Press",1,0.014788524105294291
"Institute of Archaeology","The Museum",3,0.044365572315882874
"Institute of Archaeology","Penguin Education",1,0.014788524105294291
"Institute of Archaeology","Pierides Foundation Publications",7,0.10351966873706005
"Institute of Archaeology","Benaki Museum",1,0.014788524105294291
"Institute of Archaeology","Unesco Publishing",1,0.014788524105294291
"Institute of Archaeology","Perseus Books",2,0.029577048210588583
"Institute of Archaeology","Associazione italiana metallurgia",1,0.014788524105294291
"Institute of Archaeology","Snowdonia National Park Study Centre",2,0.029577048210588583
"Institute of Archaeology","Deutsches Bergbau-Museum",27,0.3992901508429459
"Institute of Archaeology","Addison-Wesley",2,0.029577048210588583
"Institute of Archaeology","Getty Conservation Institute in association with Archetype Books",7,0.10351966873706005
"Institute of Archaeology","Institute for Archaeo-Metallurgical Studies",1,0.014788524105294291
"Institute of Archaeology","[Archeomaterials]",2,0.029577048210588583
"Institute of Archaeology","Museum University of Pennsylvania",3,0.044365572315882874
"Institute of Archaeology","University of Wisconsin Press",8,0.11830819284235433
"Institute of Archaeology","Metallurgical Society of the Canadian Institute of Mining and Metallurgy",1,0.014788524105294291
"Institute of Archaeology","Pro Calima Foundation",1,0.014788524105294291
"Institute of Archaeology","Abrams",1,0.014788524105294291
"Institute of Archaeology","Weidenfeld and Nicolson",2,0.029577048210588583
"Institute of Archaeology","Wiley-Liss",3,0.044365572315882874
"Institute of Archaeology","Thomson Wadsworth",3,0.044365572315882874
"Institute of Archaeology","Sidestone Press",13,0.1922508133688258
"Institute of Archaeology","Kitlv Press",4,0.059154096421177166
"Institute of Archaeology","Monacelli Press",4,0.059154096421177166
"Institute of Archaeology","Simon & Schuster",2,0.029577048210588583
"Institute of Archaeology","Beacon Press",3,0.044365572315882874
"Institute of Archaeology","Vintage Books",4,0.059154096421177166
"Institute of Archaeology","Society for Historical Archaeology",1,0.014788524105294291
"Institute of Archaeology","Continuum",3,0.044365572315882874
"Institute of Archaeology","Africa World Press",1,0.014788524105294291
"Institute of Archaeology","Scolar P",3,0.044365572315882874
"Institute of Archaeology","Ashgate Publishing",1,0.014788524105294291
"Institute of Archaeology","Cassell",1,0.014788524105294291
"Institute of Archaeology","Wordwell",3,0.044365572315882874
"Institute of Archaeology","Archeopress",1,0.014788524105294291
"Institute of Archaeology","Chapman & Hall",5,0.07394262052647146
"Institute of Archaeology","Edinburgh Univeersity Press",1,0.014788524105294291
"Institute of Archaeology","History",1,0.014788524105294291
"Institute of Archaeology","Phaidon [distributed in the U.S. by Praeger, New York",1,0.014788524105294291
"Institute of Archaeology","Thera Fondation",1,0.014788524105294291
"Institute of Archaeology","Institute of Classical Studies, School of Advanced Study, University of London",1,0.014788524105294291
"Institute of Archaeology","Distributor, P. Astroms forlag",3,0.044365572315882874
"Institute of Archaeology","INSTAP Academic Press",2,0.029577048210588583
"Institute of Archaeology","The Stationery Office",11,0.1626737651582372
"Institute of Archaeology","National Academies Press",7,0.10351966873706005
"Institute of Archaeology","American Association of Museums",21,0.3105590062111801
"Institute of Archaeology","Haworth Press",9,0.13309671694764863
"Institute of Archaeology","Lawrence Erlbaum Associates",16,0.23661638568470866
"Institute of Archaeology","Mandel Center for Nonprofit Organizations",8,0.11830819284235433
"Institute of Archaeology","Bloomsbury",5,0.07394262052647146
"Institute of Archaeology","Sage Publications",20,0.29577048210588586
"Institute of Archaeology","Hart",4,0.059154096421177166
"Institute of Archaeology","Seven Locks Press",2,0.029577048210588583
"Institute of Archaeology","Disability Press",3,0.044365572315882874
"Institute of Archaeology","Ashgate Pub. Co",2,0.029577048210588583
"Institute of Archaeology","Association of Science-Technology Centers",17,0.25140490979000296
"Institute of Archaeology","J.P. Getty Museum",4,0.059154096421177166
"Institute of Archaeology","Whalesback Books",4,0.059154096421177166
"Institute of Archaeology","Hodder and Stoughton in association with the Open University Press",2,0.029577048210588583
"Institute of Archaeology","Holt, Rinehart and Winston",2,0.029577048210588583
"Institute of Archaeology","Merrill",2,0.029577048210588583
"Institute of Archaeology","Guilford Press",4,0.059154096421177166
"Institute of Archaeology","Sage",20,0.29577048210588586
"Institute of Archaeology","Birlhauser (Princeton Architectural Press)",2,0.029577048210588583
"Institute of Archaeology","Science Museum",5,0.07394262052647146
"Institute of Archaeology","Birmingham Museums and Art Gallery",2,0.029577048210588583
"Institute of Archaeology","Association of Independent Museums",3,0.044365572315882874
"Institute of Archaeology","Falmer",2,0.029577048210588583
"Institute of Archaeology","Sage Publications, Inc",2,0.029577048210588583
"Institute of Archaeology","Heinemann",3,0.044365572315882874
"Institute of Archaeology","Directory of Social Change",6,0.08873114463176575
"Institute of Archaeology","Gower",2,0.029577048210588583
"Institute of Archaeology","American Association for State and Local History",4,0.059154096421177166
"Institute of Archaeology","Alta Mira Press",5,0.07394262052647146
"Institute of Archaeology","Lawrence Erlbaum",3,0.044365572315882874
"Institute of Archaeology","Athlone",4,0.059154096421177166
"Institute of Archaeology","Australian Museum",1,0.014788524105294291
"Institute of Archaeology","National Maritime Museum",1,0.014788524105294291
"Institute of Archaeology","Reaktion Books",9,0.13309671694764863
"Institute of Archaeology","The Volunteer Centre",1,0.014788524105294291
"Institute of Archaeology","Museums & Galleries Commission in conjunction with Routledge",2,0.029577048210588583
"Institute of Archaeology","V & A Enterprises",1,0.014788524105294291
"Institute of Archaeology","Liverpool University Press",2,0.029577048210588583
"Institute of Archaeology","Profile Books",1,0.014788524105294291
"Institute of Archaeology","Published for the Trustees of the British Museum by British Museum Press in association with Alistai",1,0.014788524105294291
"Institute of Archaeology","Horniman Museum and Gardens",1,0.014788524105294291
"Institute of Archaeology","MIT Press",7,0.10351966873706005
"Institute of Archaeology","Blackwell/Sociological Review",5,0.07394262052647146
"Institute of Archaeology","Prestel Publishing",2,0.029577048210588583
"Institute of Archaeology","UMI Research Press",1,0.014788524105294291
"Institute of Archaeology","Bucknell University Press",1,0.014788524105294291
"Institute of Archaeology","University of Toronto Press",3,0.044365572315882874
"Institute of Archaeology","Laurence King Publishing",1,0.014788524105294291
"Institute of Archaeology","Laurence King Publishers",1,0.014788524105294291
"Institute of Archaeology","Sage in association with the Open University",3,0.044365572315882874
"Institute of Archaeology","University of British Columbia Press",2,0.029577048210588583
"Institute of Archaeology","Palgrave",2,0.029577048210588583
"Institute of Archaeology","University of Calgary Press",1,0.014788524105294291
"Institute of Archaeology","Monash University ePress",1,0.014788524105294291
"Institute of Archaeology","Rowman & Littlefield",2,0.029577048210588583
"Institute of Archaeology","Museum Documentation Association",3,0.044365572315882874
"Institute of Archaeology","V&A",2,0.029577048210588583
"Institute of Archaeology","Waveland Press",1,0.014788524105294291
"Institute of Archaeology","Blackwell Publishing Limited",1,0.014788524105294291
"Institute of Archaeology","I.B. Tauris",1,0.014788524105294291
"Institute of Archaeology","Spinhuis",3,0.044365572315882874
"Institute of Archaeology","UBC Press",4,0.059154096421177166
"Institute of Archaeology","Verso Books",1,0.014788524105294291
"Institute of Archaeology","Grove Press",1,0.014788524105294291
"Institute of Archaeology","University of Illinois Press",1,0.014788524105294291
"Institute of Archaeology","Blackwell publishing",2,0.029577048210588583
"Institute of Archaeology","Harper & Row",3,0.044365572315882874
"Institute of Archaeology","Rudolf Habelt",1,0.014788524105294291
"Institute of Archaeology","Open Univeristy Press",1,0.014788524105294291
"Institute of Archaeology","Mouton",4,0.059154096421177166
"Institute of Archaeology","Oxbow Books in Association with the Centre for Textile Research",2,0.029577048210588583
"Institute of Archaeology","Arizona State University",1,0.014788524105294291
"Institute of Archaeology","J C Gieben",5,0.07394262052647146
"Institute of Archaeology","Elsevier",6,0.08873114463176575
"Institute of Archaeology","Pennsylvania State University Press",1,0.014788524105294291
"Institute of Archaeology","Wiley-Interscience",2,0.029577048210588583
"Institute of Archaeology","Chapman and Hall",2,0.029577048210588583
"Institute of Archaeology","Davis Publications",1,0.014788524105294291
"Institute of Archaeology","R. Hale",1,0.014788524105294291
"Institute of Archaeology","University Press of America",1,0.014788524105294291
"Institute of Archaeology","Materials Research Society",4,0.059154096421177166
"Institute of Archaeology","Trustees of the National Maritime Museum",1,0.014788524105294291
"Institute of Archaeology","Indiana Unversity Press",1,0.014788524105294291
"Institute of Archaeology","Canadian Conservation Institute",9,0.13309671694764863
"Institute of Archaeology","Corning Museum of Glass",6,0.08873114463176575
"Institute of Archaeology","Edipuglia",2,0.029577048210588583
"Institute of Archaeology","American Ceramic Society",5,0.07394262052647146
"Institute of Archaeology","Association internationale pour l'histoire du verre",7,0.10351966873706005
"Institute of Archaeology","The Geological Society",1,0.014788524105294291
"Institute of Archaeology","University of London, Percival David Foundation of Chinese Art, School of Oriental and African Studies",1,0.014788524105294291
"Institute of Archaeology","Koch, Neff & Oetinger & Co",1,0.014788524105294291
"Institute of Archaeology","Prehistoric Ceramics Research Group",3,0.044365572315882874
"Institute of Archaeology","The American Ceramic Society",1,0.014788524105294291
"Institute of Archaeology","Cotsen Institute of Archaeology, University of California, Los Angeles",1,0.014788524105294291
"Institute of Archaeology","Stone Age Institute",3,0.044365572315882874
"Institute of Archaeology","McDonald Institute for Archaeological Research, University of Cambridge",3,0.044365572315882874
"Institute of Archaeology","Masson",2,0.029577048210588583
"Institute of Archaeology","Southern Methodist University Press",1,0.014788524105294291
"Institute of Archaeology","Association of Archaeological Illustrators & Surveyors",3,0.044365572315882874
"Institute of Archaeology","Tempvs Reparatvm",1,0.014788524105294291
"Institute of Archaeology","J. Paul Getty Museum",3,0.044365572315882874
"Institute of Archaeology","Medieval Pottery Research Group",2,0.029577048210588583
"Institute of Archaeology","MDA",3,0.044365572315882874
"Institute of Archaeology","Summer Schools Press",1,0.014788524105294291
"Institute of Archaeology","Imperial College Press",1,0.014788524105294291
"Institute of Archaeology","Arthur Schwartz & Co",1,0.014788524105294291
"Institute of Archaeology","Society of Glass Technology",3,0.044365572315882874
"Institute of Archaeology","ASM Int'l",1,0.014788524105294291
"Institute of Archaeology","Harvard University Art Museums",1,0.014788524105294291
"Institute of Archaeology","United Kingdom Institute for Conservation",1,0.014788524105294291
"Institute of Archaeology","Taunton Press",1,0.014788524105294291
"Institute of Archaeology","Butterworth Heinemann",1,0.014788524105294291
"Institute of Archaeology","Elsevier/Butterworth-Heinemann",7,0.10351966873706005
"Institute of Archaeology","Leather Conservation Centre",2,0.029577048210588583
"Institute of Archaeology","Burlington, MA",3,0.044365572315882874
"Institute of Archaeology","McDonald Institute for Archaeological Researc",3,0.044365572315882874
"Institute of Archaeology","Western Academic and Specialist Press",3,0.044365572315882874
"Institute of Archaeology","Cruithne Press",1,0.014788524105294291
"Institute of Archaeology","Facet Publishing",9,0.13309671694764863
"Institute of Archaeology","Crane, Russack",1,0.014788524105294291
"Institute of Archaeology","Archetype",4,0.059154096421177166
"Institute of Archaeology","Elsevier Butterworth-Heinemann",5,0.07394262052647146
"Institute of Archaeology","Acta Universitatis Gothoburgensis",1,0.014788524105294291
"Institute of Archaeology","Butterworths, in association with the International Institute for Conservation of Historic and Artis",1,0.014788524105294291
"Institute of Archaeology","James & James",1,0.014788524105294291
"Institute of Archaeology","Earthscan Publications",2,0.029577048210588583
"Institute of Archaeology","Dept. of Conservation [British Museum]",1,0.014788524105294291
"Institute of Archaeology","Collections Trust",6,0.08873114463176575
"Institute of Archaeology","Canadian Conservation Institute = Institut canadien de conservation",2,0.029577048210588583
"Institute of Archaeology","University of Nebraska Press",1,0.014788524105294291
"Institute of Archaeology","Minnesota Historical Society Press",3,0.044365572315882874
"Institute of Archaeology","University of Virginia Press",3,0.044365572315882874
"Institute of Archaeology","Institute of Classical Studies",1,0.014788524105294291
"Institute of Archaeology","W. Morrow",1,0.014788524105294291
"Institute of Archaeology","Pearson Prentice Hall",1,0.014788524105294291
"Institute of Archaeology","Lithic Studies Society",1,0.014788524105294291
"Institute of Archaeology","Stone Age Institute Press",1,0.014788524105294291
"Institute of Archaeology","Institute of Art and Law",1,0.014788524105294291
"Institute of Archaeology","H.N. Abrams in association with the Bard Graduate Center for Studies in the Decorative Arts",1,0.014788524105294291
"Institute of Archaeology","Dartmouth",1,0.014788524105294291
"Institute of Archaeology","Smithsonian Books/Collins",1,0.014788524105294291
"Institute of Archaeology","United Nations Educational, Scientific & Cult",1,0.014788524105294291
"Institute of Archaeology","Times Books/Henry Holt and Co",1,0.014788524105294291
"Institute of Archaeology","St. Martin's Press",1,0.014788524105294291
"Institute of Archaeology","Koninklijk Instituut Voor de Tropen",1,0.014788524105294291
"Institute of Archaeology","BasicBooks",1,0.014788524105294291
"Institute of Archaeology","Science Museum with the support of the European Commission Directorate General XII",1,0.014788524105294291
"Institute of Archaeology","National Children's Bureau Enterprises Ltd",1,0.014788524105294291
"Institute of Archaeology","University of Minnesota Press",4,0.059154096421177166
"Institute of Archaeology","Zone Books",3,0.044365572315882874
"Institute of Archaeology","Random House",1,0.014788524105294291
"Institute of Archaeology","Douglas & McIntyre",1,0.014788524105294291
"Institute of Archaeology","Austrian Academy of Sciences",4,0.059154096421177166
"Institute of Archaeology","J.R. Collins Pubs",4,0.059154096421177166
"Institute of Archaeology","Cambridge Philological Society",4,0.059154096421177166
"Institute of Archaeology","Pluto",3,0.044365572315882874
"Institute of Archaeology","Kunsthistorisches Museum",1,0.014788524105294291
"Institute of Archaeology","Center for Archaeological Investigations, Southern Illinois University",1,0.014788524105294291
"Institute of Archaeology","CHAMAN",2,0.029577048210588583
"Institute of Archaeology","A. Colin",1,0.014788524105294291
"Institute of Archaeology","Archaeological Research Unit, University of Cyprus",1,0.014788524105294291
"Institute of Archaeology","Franz Steiner Verlag",2,0.029577048210588583
"Institute of Archaeology","Council for British Research in the Levant in Association with Oxbow Books",1,0.014788524105294291
"Institute of Archaeology","University of Michigan",1,0.014788524105294291
"Institute of Archaeology","Center for Hellenic Studies, Trustees for Harvard University",1,0.014788524105294291
"Institute of Archaeology","Ecole fran�aise de Rome",3,0.044365572315882874
"Institute of Archaeology","Getty Research Institute",4,0.059154096421177166
"Institute of Archaeology","Steiner Franz Verlag",1,0.014788524105294291
"Institute of Archaeology","Distributors, Almqvist & Wiksell International",1,0.014788524105294291
"Institute of Archaeology","Svenska institutet i Athen",2,0.029577048210588583
"Institute of Archaeology","Distributor P. Astroms forlag",1,0.014788524105294291
"Institute of Archaeology","A.G. Leventis Foundation",1,0.014788524105294291
"Institute of Archaeology","L'Erma di Bretschneider",1,0.014788524105294291
"Institute of Archaeology","Oxford Univ. Press",1,0.014788524105294291
"Institute of Archaeology","Novus Forlag",4,0.059154096421177166
"Institute of Archaeology","The British Museum Press",1,0.014788524105294291
"Computer Science","Morgan Kaufmann",1,3.7037037037037037
"Computer Science","MIT Press",1,3.7037037037037037
"Computer Science","Penguin",1,3.7037037037037037
"Computer Science","Addison-Wesley Pub. Co",3,11.11111111111111
"Computer Science","Addison-Wesley",12,44.44444444444444
"Computer Science","Wiley",1,3.7037037037037037
"Computer Science","McGraw Hill",1,3.7037037037037037
"Computer Science","Course Technology",2,7.407407407407407
"Computer Science","Graphics Press",4,14.814814814814815
"Computer Science","Springer",1,3.7037037037037037
"Anthropology","Harvard University Press",41,1.5235971757710889
"Anthropology","Smithsonian Institution Press",16,0.5945745076179859
"Anthropology","University of Chicago Press",143,5.314009661835748
"Anthropology","Berg",119,4.42214790040877
"Anthropology","McGill-Queen's University Press",5,0.18580453363062058
"Anthropology","Routledge",295,10.962467484206615
"Anthropology","Pluto Press",18,0.6688963210702341
"Anthropology","London",1,0.03716090672612412
"Anthropology","Farrar Straus Giroux",3,0.11148272017837235
"Anthropology","Clarendon Press",54,2.0066889632107023
"Anthropology","Cambridge University Press",225,8.361204013377927
"Anthropology","Reaktion Books",20,0.7432181345224823
"Anthropology","Columbia University Press",27,1.0033444816053512
"Anthropology","Duke University Press",107,3.9762170196952806
"Anthropology","British Library",7,0.2601263470828688
"Anthropology","Routledge and K. Paul",5,0.18580453363062058
"Anthropology","Tavistock Pubns",5,0.18580453363062058
"Anthropology",": Routledge",13,0.4830917874396135
"Anthropology","West Pub. Co",6,0.2229654403567447
"Anthropology","Museum of Anthropology, University of Michigan",7,0.2601263470828688
"Anthropology","Penguin Books in association with New Left Review",1,0.03716090672612412
"Anthropology","Belknap Press",4,0.14864362690449648
"Anthropology","Syracuse University Press",3,0.11148272017837235
"Anthropology","Institute for the Study of Human Issues",1,0.03716090672612412
"Anthropology","Association for Consumer Research",2,0.07432181345224824
"Anthropology","Universitetsforlaget",2,0.07432181345224824
"Anthropology","Croom Helm",3,0.11148272017837235
"Anthropology","Princeton Architectural Press",9,0.33444816053511706
"Anthropology","University of North Carolina Press",10,0.37160906726124115
"Anthropology","MIT Press",67,2.489780750650316
"Anthropology","University of Minnesota Press",34,1.26347082868822
"Anthropology","Vintage Books",8,0.29728725380899296
"Anthropology","Penguin",22,0.8175399479747306
"Anthropology","Guilford Press",7,0.2601263470828688
"Anthropology","Beacon Press",11,0.4087699739873653
"Anthropology","Berg Publishers",107,3.9762170196952806
"Anthropology","The MIT Press",8,0.29728725380899296
"Anthropology","Polity",36,1.3377926421404682
"Anthropology","Blackwell Pub",26,0.966183574879227
"Anthropology","Basic Books",8,0.29728725380899296
"Anthropology","Left Coast Press",7,0.2601263470828688
"Anthropology","Palgrave Macmillan",9,0.33444816053511706
"Anthropology","School of American Research Press",9,0.33444816053511706
"Anthropology","University of California Press",129,4.793756967670011
"Anthropology","Blackwell Publishing, Incorporated",2,0.07432181345224824
"Anthropology","Sage Publications Ltd",18,0.6688963210702341
"Anthropology","Oxford University Press",50,1.858045336306206
"Anthropology","Macmillan",7,0.2601263470828688
"Anthropology","Harcourt Brace College Publishers",3,0.11148272017837235
"Anthropology","Holt, Rinehart, and Winston",2,0.07432181345224824
"Anthropology","HarperCollins Publishers",3,0.11148272017837235
"Anthropology","Westview Press",8,0.29728725380899296
"Anthropology","Springer",8,0.29728725380899296
"Anthropology","McGraw-Hill",2,0.07432181345224824
"Anthropology","Wiley-Blackwell",20,0.7432181345224823
"Anthropology","Australian Institute of Aboriginal Studies",2,0.07432181345224824
"Anthropology","Monthly Review Press",2,0.07432181345224824
"Anthropology","Waveland Pr Inc",1,0.03716090672612412
"Anthropology","Smithsonian Books",2,0.07432181345224824
"Anthropology","Penguin Books",9,0.33444816053511706
"Anthropology","International African Institute in association with J. Currey, Oxford",1,0.03716090672612412
"Anthropology","W. W. Norton & Company",1,0.03716090672612412
"Anthropology","Polity Press",17,0.63173541434411
"Anthropology","Blackwell Publishers",10,0.37160906726124115
"Anthropology","Academic Press",14,0.5202526941657376
"Anthropology","Souvenir Press (Educational & Academic)",1,0.03716090672612412
"Anthropology","Princeton University Press",56,2.0810107766629504
"Anthropology","Blackwell",29,1.0776662950575995
"Anthropology","Greenwood Press",1,0.03716090672612412
"Anthropology","Stanford University Press",44,1.6350798959494612
"Anthropology","State University of New York Press",1,0.03716090672612412
"Anthropology","Brill",5,0.18580453363062058
"Anthropology","Clarendon",1,0.03716090672612412
"Anthropology","Berghahn Books",37,1.3749535488665923
"Anthropology","Johns Hopkins University Press",6,0.2229654403567447
"Anthropology","University of Michigan Press",17,0.63173541434411
"Anthropology","Heinemann Educational Books",2,0.07432181345224824
"Anthropology","Yale University Press",31,1.1519881085098476
"Anthropology","HarperCollins",2,0.07432181345224824
"Anthropology","Churchill Livingstone",1,0.03716090672612412
"Anthropology","Heinemann",3,0.11148272017837235
"Anthropology","W. W. Norton",4,0.14864362690449648
"Anthropology","Allen Lane",9,0.33444816053511706
"Anthropology","Malaby Press",2,0.07432181345224824
"Anthropology","Ohio University Press",3,0.11148272017837235
"Anthropology","B. Blackwell",9,0.33444816053511706
"Anthropology","Berghahn",7,0.2601263470828688
"Anthropology","Tavistock Publications",3,0.11148272017837235
"Anthropology","Ashgate",6,0.2229654403567447
"Anthropology","Athlone",4,0.14864362690449648
"Anthropology","Manchester University Press",7,0.2601263470828688
"Anthropology","Zone Books",6,0.2229654403567447
"Anthropology","UCL Press",3,0.11148272017837235
"Anthropology","Oxford University Press, USA",11,0.4087699739873653
"Anthropology","Prickly Paradigm Press",2,0.07432181345224824
"Anthropology","Cornell University Press",31,1.1519881085098476
"Anthropology","New Press",2,0.07432181345224824
"Anthropology","Athlone Press",7,0.2601263470828688
"Anthropology","Pocket",3,0.11148272017837235
"Anthropology","Sage Publications",20,0.7432181345224823
"Anthropology","Morgan Kaufmann",1,0.03716090672612412
"Anthropology","Island Press/Shearwater Books",1,0.03716090672612412
"Anthropology","Counterpoint",1,0.03716090672612412
"Anthropology","HarperPerennial",1,0.03716090672612412
"Anthropology","University of Wisconsin Press",7,0.2601263470828688
"Anthropology","University of Nebraska Press",3,0.11148272017837235
"Anthropology","University of Texas Press",7,0.2601263470828688
"Anthropology","University of Arizona Press",10,0.37160906726124115
"Anthropology","J. Cape",1,0.03716090672612412
"Anthropology","Weidenfeld and Nicolson",3,0.11148272017837235
"Anthropology","Ark",1,0.03716090672612412
"Anthropology","Indiana University Press",28,1.0405053883314752
"Anthropology","Semiotext(e)",1,0.03716090672612412
"Anthropology","Taylor & Francis",2,0.07432181345224824
"Anthropology","University Press of Virginia",3,0.11148272017837235
"Anthropology","Wiley",4,0.14864362690449648
"Anthropology","Dent",1,0.03716090672612412
"Anthropology","Aldine de Gruyter",6,0.2229654403567447
"Anthropology","Weidenfeld & Nicolson",1,0.03716090672612412
"Anthropology","Harper & Row",5,0.18580453363062058
"Anthropology","University of Pennsylvania Press",19,0.7060572277963583
"Anthropology","Routledge & Kegan Paul",1,0.03716090672612412
"Anthropology","Zed Books",2,0.07432181345224824
"Anthropology","Bantam Books",1,0.03716090672612412
"Anthropology","Continuum",2,0.07432181345224824
"Anthropology","Norton",3,0.11148272017837235
"Anthropology","Faber and Faber",3,0.11148272017837235
"Anthropology","British Film Institute",1,0.03716090672612412
"Anthropology","Rowman & Littlefield Publishers",3,0.11148272017837235
"Anthropology","Hodder Arnold",1,0.03716090672612412
"Anthropology","Sage in association with the Open University",6,0.2229654403567447
"Anthropology","Princeton",1,0.03716090672612412
"Anthropology","Farrar, Straus, and Giroux",2,0.07432181345224824
"Anthropology","Praeger",1,0.03716090672612412
"Anthropology","Open University Press",8,0.29728725380899296
"Anthropology","Sage",7,0.2601263470828688
"Anthropology","Butterworth-Heinemann",2,0.07432181345224824
"Anthropology","John Wiley & Sons",3,0.11148272017837235
"Anthropology","Rutgers University Press",10,0.37160906726124115
"Anthropology","Methuen",2,0.07432181345224824
"Anthropology","Basil Blackwell",2,0.07432181345224824
"Anthropology","Left Coast Press, Inc",1,0.03716090672612412
"Anthropology","University of Exeter Press",1,0.03716090672612412
"Anthropology","Cape",4,0.14864362690449648
"Anthropology","Hanser Gardner Publications",1,0.03716090672612412
"Anthropology","Verso",17,0.63173541434411
"Anthropology","Lund University Press,Sweden",1,0.03716090672612412
"Anthropology","Oxford University Press in association with the Open University",1,0.03716090672612412
"Anthropology","Verso Books",2,0.07432181345224824
"Anthropology","Cassell",1,0.03716090672612412
"Anthropology","Published by Dumbarton Oaks Research Library and Collection",1,0.03716090672612412
"Anthropology","Five Leaves",3,0.11148272017837235
"Anthropology","Dorling Kindersley",1,0.03716090672612412
"Anthropology","Harry N. Abrams",8,0.29728725380899296
"Anthropology","Edinburgh University Press",7,0.2601263470828688
"Anthropology","John Wiley",3,0.11148272017837235
"Anthropology","J.M. Dent",1,0.03716090672612412
"Anthropology","Constable and Robinson",1,0.03716090672612412
"Anthropology","Viking",1,0.03716090672612412
"Anthropology","Abbeville Kids",1,0.03716090672612412
"Anthropology","Museum of Modern Art",1,0.03716090672612412
"Anthropology","Published for the British Academy by Oxford University Press",1,0.03716090672612412
"Anthropology","English Heritage",1,0.03716090672612412
"Anthropology","Phaidon Press",3,0.11148272017837235
"Anthropology","New Pr",1,0.03716090672612412
"Anthropology","Kluwer Academic Publishers",1,0.03716090672612412
"Anthropology","Pella Publishing",3,0.11148272017837235
"Anthropology","ANU E Press",1,0.03716090672612412
"Anthropology","Schocken Books",1,0.03716090672612412
"Anthropology","Laurence King Publishing",1,0.03716090672612412
"Anthropology","Cambridge University      Press",1,0.03716090672612412
"Anthropology","Vintage",7,0.2601263470828688
"Anthropology","Leete's Island Books",1,0.03716090672612412
"Anthropology","Yale University Press in association with the Royal Anthropological Institute, London",2,0.07432181345224824
"Anthropology","American Museum of Natural History in association with the University of Washington Press, Seattle",1,0.03716090672612412
"Anthropology","University of Washington Press",5,0.18580453363062058
"Anthropology","Manchester University Press in association with the Granada Centre for Visual Anthropology",1,0.03716090672612412
"Anthropology","Revue Noire",2,0.07432181345224824
"Anthropology","Farrar, Straus and Giroux",1,0.03716090672612412
"Anthropology","Queensland Museum",1,0.03716090672612412
"Anthropology","Delmar/Thomson Learning",2,0.07432181345224824
"Anthropology","Aldine de Gruter",3,0.11148272017837235
"Anthropology","Chatto & Windus",1,0.03716090672612412
"Anthropology","H. Holt",1,0.03716090672612412
"Anthropology","Tufnell Press",1,0.03716090672612412
"Anthropology","Lawrence Erlbaum Associates",3,0.11148272017837235
"Anthropology","AltaMira Press",6,0.2229654403567447
"Anthropology","Editions de la Maison des Sciences de l'Homme",3,0.11148272017837235
"Anthropology","Prentice Hall/Harvester Wheatsheaf",3,0.11148272017837235
"Anthropology","University of New Mexico Press",10,0.37160906726124115
"Anthropology","The Free Press",1,0.03716090672612412
"Anthropology","M. Nijhoff",1,0.03716090672612412
"Anthropology","Smithsonian Institution",1,0.03716090672612412
"Anthropology","National Academy Press",9,0.33444816053511706
"Anthropology","Parthenon Pub Group",1,0.03716090672612412
